             Date       Close        High         Low        Open      Volume
10187  2021-05-10  124.437271  127.076101  124.398031  126.948584    88071200
10188  2021-05-11  123.515160  123.868305  120.434876  121.150995   126142800
10189  2021-05-12  120.434875  122.269310  119.924769  121.052897   112172300
10190  2021-05-13  122.593025  123.750581  121.896531  122.210444   105861300
10191  2021-05-14  125.025864  125.457497  123.456298  123.848691    81918000
10192  2021-05-17  123.868309  124.515759  122.789233  124.407851    74244600
10193  2021-05-18  122.475327  124.574623  122.406658  124.152801    63342900
10194  2021-05-19  122.318359  122.543981  120.523165  120.817462    92612000
10195  2021-05-20  124.888519  125.290725  122.720555  122.848087    76857100
10196  2021-05-21  123.044281  125.565398  122.828464  125.388822    79295400
10197  2021-05-24  124.682503  125.506529  123.544570  123.613239    63092900
10198  2021-05-25  124.486320  125.879317  123.917350  125.388820    72009500
10199  2021-05-26  124.437271  124.967001  124.015450  124.545179    56575900
10200  2021-05-27  122.897133  125.212246  122.700940  124.035073    94625600
10201  2021-05-28  122.239883  123.407252  122.181027  123.181623    71311100
10202  2021-06-01  121.916138  122.965786  121.582608  122.700924    67637100
10203  2021-06-02  122.681313  122.857889  121.690529  121.916150    59278900
10204  2021-06-03  121.190239  122.475320  120.788034  122.308555    76229200
10205  2021-06-04  123.495522  123.760390  121.494322  121.710139    75169300
10206  2021-06-07  123.505333  123.917343  122.455685  123.770194    71057600
10207  2021-06-08  124.329353  126.016647  123.809435  124.192017    74403800
10208  2021-06-09  124.711937  125.320147  124.113539  124.790417    56877900
10209  2021-06-10  123.711349  125.751789  123.544585  124.604037    71186400
10210  2021-06-11  124.927765  125.016057  123.701540  124.123362    53522400
10211  2021-06-14  127.998222  128.057079  124.653086  125.388820    96906500
10212  2021-06-15  127.174164  128.115911  126.928919  127.468461    62746300
10213  2021-06-16  127.674492  128.400422  126.016649  127.890309    91815000
10214  2021-06-17  129.283325  130.028879  127.184029  127.331185    96721700
10215  2021-06-18  127.978561  129.008578  127.762745  128.223806   108953300
10216  2021-06-21  129.783646  129.891554  126.752421  127.821686    79663300
10217  2021-06-22  131.431656  131.529760  129.116543  129.616852    74783600
10218  2021-06-23  131.156982  131.765200  130.695921  131.225658    60214200
10219  2021-06-24  130.872482  132.079083  130.401601  131.892694    68711000
10220  2021-06-25  130.578217  131.343380  130.283920  130.921565    70783700
10221  2021-06-28  132.216431  132.677492  130.813637  130.872493    62111300
10222  2021-06-29  133.736923  133.893884  131.794588  132.236026    64556100
10223  2021-06-30  134.354980  134.796418  133.285701  133.579998    63261400
10224  2021-07-01  134.659073  134.717929  133.177784  134.001818    52485800
10225  2021-07-02  137.297913  137.337145  135.129941  135.277082    78852600
10226  2021-07-06  139.318726  140.427222  137.405818  137.405818   108181800
10227  2021-07-07  141.820221  142.134127  139.946546  140.809798   104911600
10228  2021-07-08  140.515503  141.319898  137.994379  138.887073   105575500
10229  2021-07-09  142.349960  142.879683  139.936744  140.034848    99890800
10230  2021-07-12  141.751572  143.536962  141.261082  143.429054    76299700
10231  2021-07-13  142.869873  144.655263  140.898109  141.290495   100827100
10232  2021-07-14  146.313110  146.725135  144.871069  145.283094   127050800
10233  2021-07-15  145.655838  147.146931  144.292277  146.401392   106820300
10234  2021-07-16  143.605637  146.911534  143.105342  145.636272    93251400
10235  2021-07-19  139.740555  141.329752  138.975392  141.015831   121434600
10236  2021-07-20  143.370193  144.302136  140.240880  140.731370    96350000
10237  2021-07-21  142.634415  143.350540  141.879071  142.761947    74993500
10238  2021-07-22  144.007782  145.381147  143.036607  143.164139    77338200
10239  2021-07-23  145.734344  145.891305  144.125538  144.743560    71447400
10240  2021-07-26  146.156189  146.980208  144.890717  145.449882    72434100
10241  2021-07-27  143.978363  146.371955  142.781567  146.283656   104818600
10242  2021-07-28  142.222427  144.174582  139.828835  142.055663   118931200
10243  2021-07-29  142.869873  143.762568  141.830037  141.937945    56699500
10244  2021-07-30  143.085693  143.546755  141.368979  141.633848    70440600
10245  2021-08-02  142.752151  144.154945  142.487283  143.576171    62880000
10246  2021-08-03  144.557175  145.224234  142.418631  143.036653    64786600
10247  2021-08-04  144.154953  144.978972  143.497698  144.468874    56368300
10248  2021-08-05  144.262863  145.028026  143.389792  144.184383    46397700
10249  2021-08-06  143.575165  144.528142  143.074121  143.781486    54126800
10250  2021-08-09  143.526001  144.125296  142.966013  143.634071    48908700
10251  2021-08-10  143.044632  145.117601  142.749894  143.869886    69023100
10252  2021-08-11  143.300064  144.144971  142.975854  143.486732    48493500
10253  2021-08-12  146.276886  146.434081  143.280412  143.624276    72282600
10254  2021-08-13  146.483200  146.817229  145.667765  146.355477    59375000
10255  2021-08-16  148.467758  148.536537  143.899374  145.933037   103296000
10256  2021-08-17  147.554077  149.017917  146.473377  147.593369    92229700
10257  2021-08-18  143.791306  148.074786  143.584985  147.170934    86326000
10258  2021-08-19  144.125320  145.402508  141.963935  142.484632    86960300
10259  2021-08-20  145.589172  145.893729  144.203915  144.852335    60549600
10260  2021-08-23  147.082520  147.554091  145.294454  145.707081    60131800
10261  2021-08-24  146.994064  148.212307  146.532312  146.827050    48606400
10262  2021-08-25  145.756195  147.681803  145.206026  147.180744    58991300
10263  2021-08-26  144.950562  146.502833  144.921089  145.746358    48597200
10264  2021-08-27  145.991974  146.139335  144.253034  144.891620    55802400
10265  2021-08-30  150.432617  150.796134  146.001777  146.384931    90956700
10266  2021-08-31  149.165283  150.118260  148.634752  149.980718    86453100
10267  2021-09-01  149.833344  152.259995  149.666329  150.147734    80313700
10268  2021-09-02  150.953339  152.004567  149.725277  151.169479    71115500
10269  2021-09-03  151.591949  151.916160  150.403179  151.061418    57808700
10270  2021-09-07  153.940033  154.500021  151.680396  152.250218    82278300
10271  2021-09-08  152.387726  154.283846  151.277553  154.224901    74420200
10272  2021-09-09  151.365982  153.370172  151.248078  152.761058    57305700
10273  2021-09-10  146.355515  152.751256  146.090249  152.279684   140893200
10274  2021-09-13  146.925323  148.762499  146.139361  147.986371   102404300
10275  2021-09-14  145.520386  148.418623  144.331630  147.711258   109296300
10276  2021-09-15  146.414429  146.817237  143.801110  145.952676    83281300
10277  2021-09-16  146.178635  146.355483  144.636197  145.834786    68034100
10278  2021-09-17  143.496567  146.208137  143.201829  146.208137   129868800
10279  2021-09-20  140.431351  142.297999  138.790662  141.276258   123478900
10280  2021-09-21  140.912720  142.062199  140.274134  141.403944    75834000
10281  2021-09-22  143.290268  143.860075  141.177992  141.914830    76404300
10282  2021-09-23  144.253067  144.498679  143.083950  144.076218    64838200
10283  2021-09-24  144.341476  144.881827  143.005345  143.103595    53477900
10284  2021-09-27  142.818665  143.398321  141.295880  142.916915    74150700
10285  2021-09-28  139.419418  142.209571  139.203278  140.735897   108972300
10286  2021-09-29  140.323242  141.914805  139.537280  139.969560    74602000
10287  2021-09-30  139.016571  141.846030  138.800431  141.138665    89056700
10288  2021-10-01  140.146378  140.411643  136.668514  139.409541    94639600
10289  2021-10-04  136.697998  139.714125  135.843272  139.272010    98322000
10290  2021-10-05  138.633438  139.743611  136.914152  137.041875    80861100
10291  2021-10-06  139.507812  139.655174  135.941516  137.022217    83221100
10292  2021-10-07  140.775177  141.688863  140.215189  140.549218    61732700
10293  2021-10-08  140.391983  141.649517  140.057954  141.502155    58773200
10294  2021-10-11  140.303589  142.268488  139.321140  139.773073    64452200
10295  2021-10-12  139.026413  140.735880  138.564661  140.716227    73035900
10296  2021-10-13  138.436951  138.918341  136.756956  138.761161    78762700
10297  2021-10-14  141.236938  141.354843  139.026427  139.615903    69907100
10298  2021-10-15  142.297989  142.356933  140.991329  141.246776    67940300
10299  2021-10-18  143.977951  144.262855  140.647448  140.932352    85589200
10300  2021-10-19  146.149170  146.551978  143.977965  144.429883    76378900
10301  2021-10-20  146.640396  147.121802  145.520404  146.090227    58418800
